name,team,battingStyle,bowlingStyle,playingRole,description
Abhishek Sharma,SRH,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Travis Head,SRH,Left hand Bat,Right arm Offbreak,Top order Batter,"A talented, aggressive left-hand batter earmarked for big things at a young age, it was Travis Head's second coming as an international cricketer where his career really took off. In late 2021 he was recalled for the Ashes series and made a match-defining 85-ball century at the Gabba - it set the tone for a strong of destructive Test innings while he also reemerged as a white-ball force, so central to Australia's 2023 ODI World Cup plans that they waited for him to recover from a broken hand. In the final against India he made 137 off 120 balls. A cult hero was born."
Rahul Tripathi,SRH,Right hand Bat,Right arm Medium,Top order Batter,"A technically correct middle-order batter, Rahul Tripathi came to the game in the footsteps of his father, an army man who in his time turned out for Uttar Pradesh in junior cricket and also played at university level. "
Aiden Markram,SRH,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Nitish Kumar Reddy,SRH,Right hand Bat,Right arm Medium fast,Batting Allrounder,"Nitish Kumar Reddy first made headlines when he started the 2017-18 Vijay Merchant Trophy with a triple-century for Andhra, followed by a 345-ball 441 against Nagaland. His 1237 runs there at an average of 176.41 still remains the record highest tally in the tournament's history, and earned him the BCCI's award for best U-16 cricketer that season. As he developed his bowling as a seamer, he also took the new ball for Andhra in senior domestic cricket, and his all-round skills earned the interest of Sunrisers Hyderabad in the IPL. Before the 2023 IPL season, he was bought by SRH for INR 20 lakhs, but in his debut season, bowled five wicketless overs across two games while not getting to bat. However, in IPL 2024, his exploits earned SRH crucial victories in their run to the playoffs; his 64 against PBKS helped SRH win by one run, while his unbeaten 76 against Delhi Capitals ensured a two-run win.
Sreshth Shah"
Heinrich Klaasen,SRH,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A wicketkeeper-batter known for his belligerent six-hitting, Heinrich Klaasen first got his chance in the South African team as an injury replacement, opening in place of Quinton de Kock, but went on to establish himself in the middle order in limited-overs cricket. "
Shahbaz Ahmed,SRH,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Shahbaz Ahmed was born in Mewat, Haryana, the most backward district in India according to a government report in 2018. He started as a batter, playing local cricket in and around Mewat, but the opportunities were limited. In 2015, he moved to Kolkata to try his luck in club cricket. That is where he developed his left-arm spin and transformed himself into an allrounder."
Abdul Samad,SRH,Right hand Bat,Legbreak,Batter,
Pat Cummins(c),SRH,Right hand Bat,Right arm Fast,Bowler,
Jaydev Unadkat,SRH,Right hand Bat,Left arm Medium,Bowler,"A left-arm fast bowler, Jaydev Unadkat led India Under-19s' attack in the 2010 World Cup in New Zealand. He was first spotted at the  Duleep Sinh School of Cricket in Porbandar, where he impressed his coach Ram Odedra with his bowling action and ability to land the ball on the seam. "
Bhuvneshwar Kumar,SRH,Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Â "
T Natarajan,SRH,Left hand Bat,Left arm Medium,Bowler,
Rahmanullah Gurbaz,KKR,Right hand Bat,,Wicketkeeper Batter,
Sunil Narine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
Venkatesh Iyer,KKR,Left hand Bat,Right arm Medium,Allrounder,"A loose-limbed and tall pace-bowling allrounder, Venkatesh Iyer was briefly a much sought-after player in white-ball cricket for India. He had shone with both and ball as India searched for Hardik Pandya's back-up in the lead-up to the 2021 and 2022 T20 World Cups."
Shreyas Iyer(c),KKR,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Mitchell Starc,KKR,Left hand Bat,Left arm Fast,Bowler,
Vaibhav Arora,KKR,Right hand Bat,Right arm Fast medium,Bowler,
Harshit Rana,KKR,Right hand Bat,Right arm Fast,Bowler,"A fast bowler from Delhi, Harshit Rana is among the modern breed of players who made their IPL debut before their senior domestic debut. In his case, it was thanks to Kolkata Knight Riders' scouting system. With height, pace, hit-the-deck skills and clever variations to his credit, Harshit was fast-tracked into the India squad in July 2024, after having won the IPL with KKR."
Andre Russell,KKR,Right hand Bat,Right arm Fast,Allrounder,
Phil Salt,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Nitish Rana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,
Rinku Singh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter,"A middle-order batter and an excellent outfielder, Rinku Singh stunned everyone when he hit Yash Dayal for five consecutive sixes with Kolkata Knight Riders needing 28 from five balls against Gujarat Titans in IPL 2023."
Ramandeep Singh,KKR,Right hand Bat,Right arm Medium,Middle order Batter,
KL Rahul(c),LSG,Right hand Bat,,Wicketkeeper Batter,
Devdutt Padikkal,LSG,Left hand Bat,Right arm Offbreak,Top order Batter,
Marcus Stoinis,LSG,Right hand Bat,Right arm Medium,Batting Allrounder,
Deepak Hooda,LSG,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction. "
Nicholas Pooran,LSG,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
