match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
KKR Vs SRH,SRH,1,AbhishekSharmaÂ,2,5,0,0,40.00,out,
KKR Vs SRH,SRH,2,TravisHeadÂ,0,1,0,0,0.00,out,
KKR Vs SRH,SRH,3,RahulTripathiÂ,9,13,1,0,69.23,out,
KKR Vs SRH,SRH,4,AidenMarkramÂ,20,23,3,0,86.95,out,
KKR Vs SRH,SRH,5,NitishKumar ReddyÂ,13,10,1,1,130.00,out,
KKR Vs SRH,SRH,6,HeinrichKlaasenÂ,16,17,1,0,94.11,out,
KKR Vs SRH,SRH,7,ShahbazAhmedÂ,8,7,0,1,114.28,out,
KKR Vs SRH,SRH,8,AbdulSamadÂ,4,4,0,0,100.00,out,
KKR Vs SRH,SRH,9,PatCumminsÂ(c),24,19,2,1,126.31,out,
KKR Vs SRH,SRH,10,JaydevUnadkatÂ,4,11,0,0,36.36,out,
KKR Vs SRH,SRH,11,BhuvneshwarKumarÂ,0,1,0,0,0.00,not_out,
KKR Vs SRH,KKR,1,RahmanullahGurbazÂ,39,32,5,2,121.87,out,
KKR Vs SRH,KKR,2,SunilNarineÂ,6,2,0,1,300.00,out,
KKR Vs SRH,KKR,3,VenkateshIyerÂ,52,26,4,3,200.00,not_out,
KKR Vs SRH,KKR,4,ShreyasIyerÂ(c),6,3,1,0,200.00,not_out,
RR Vs SRH,SRH,1,TravisHeadÂ,34,28,3,1,121.42,out,
RR Vs SRH,SRH,2,AbhishekSharmaÂ,12,5,1,1,240.00,out,
RR Vs SRH,SRH,3,RahulTripathiÂ,37,15,5,2,246.66,out,
RR Vs SRH,SRH,4,AidenMarkramÂ,1,2,0,0,50.00,out,
RR Vs SRH,SRH,5,HeinrichKlaasenÂ,50,34,0,4,147.05,out,
RR Vs SRH,SRH,6,NitishKumar ReddyÂ,5,10,0,0,50.00,out,
RR Vs SRH,SRH,7,AbdulSamadÂ,0,1,0,0,0.00,out,
RR Vs SRH,SRH,8,ShahbazAhmedÂ,18,18,0,1,100.00,out,
RR Vs SRH,SRH,9,PatCumminsÂ(c),5,5,1,0,100.00,not_out,
RR Vs SRH,SRH,10,JaydevUnadkatÂ,5,2,1,0,250.00,out,
RR Vs SRH,RR,1,YashasviJaiswalÂ,42,21,4,3,200.00,out,
RR Vs SRH,RR,2,TomKohler-CadmoreÂ,10,16,1,0,62.50,out,
RR Vs SRH,RR,3,SanjuSamsonÂ(c),10,11,1,0,90.90,out,
RR Vs SRH,RR,4,RiyanParagÂ,6,10,0,0,60.00,out,
RR Vs SRH,RR,5,DhruvJurelÂ,56,35,7,2,160.00,not_out,
RR Vs SRH,RR,6,RavichandranAshwinÂ,0,3,0,0,0.00,out,
RR Vs SRH,RR,7,ShimronHetmyerÂ,4,10,0,0,40.00,out,
RR Vs SRH,RR,8,RovmanPowellÂ,6,12,0,0,50.00,out,
RR Vs SRH,RR,9,TrentBoultÂ,0,3,0,0,0.00,not_out,
