match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
KKR Vs SRH,KKR,Mitchell Starc,3,0,14,2,4.66,11,2,0,0,0,
KKR Vs SRH,KKR,Vaibhav Arora,3,0,24,1,8.00,9,2,1,4,0,
KKR Vs SRH,KKR,Harshit Rana,4,1,24,2,6.00,13,2,1,1,0,
KKR Vs SRH,KKR,Sunil Narine,4,0,16,1,4.00,9,0,0,0,0,
KKR Vs SRH,KKR,Andre Russell,2.3,0,19,3,7.60,7,1,1,1,0,
KKR Vs SRH,KKR,Varun Chakravarthy,2,0,9,1,4.50,7,1,0,0,0,
KKR Vs SRH,SRH,Bhuvneshwar Kumar,2,0,25,0,12.50,5,2,2,1,0,
KKR Vs SRH,SRH,Pat Cummins,2,0,18,1,9.00,7,2,1,1,0,
KKR Vs SRH,SRH,T Natarajan,2,0,29,0,14.50,2,4,1,2,0,
KKR Vs SRH,SRH,Shahbaz Ahmed,2.3,0,22,1,8.80,7,1,2,0,0,
KKR Vs SRH,SRH,Jaydev Unadkat,1,0,9,0,9.00,1,1,0,0,0,
KKR Vs SRH,SRH,Aiden Markram,1,0,5,0,5.00,2,0,0,0,0,
RR Vs SRH,RR,Trent Boult,4,0,45,3,11.25,7,3,3,2,0,
RR Vs SRH,RR,Ravichandran Ashwin,4,0,43,0,10.75,4,3,2,0,0,
RR Vs SRH,RR,Sandeep Sharma,4,0,25,2,6.25,10,3,0,1,0,
RR Vs SRH,RR,Avesh Khan,4,0,27,3,6.75,11,2,1,2,0,
RR Vs SRH,RR,Yuzvendra Chahal,4,0,34,0,8.50,9,0,3,2,0,
RR Vs SRH,SRH,Bhuvneshwar Kumar,3,0,33,0,11.00,7,4,2,0,0,
RR Vs SRH,SRH,Pat Cummins,4,0,30,1,7.50,10,3,1,1,0,
RR Vs SRH,SRH,T Natarajan,3,0,13,1,4.33,13,2,0,1,0,
RR Vs SRH,SRH,Jaydev Unadkat,1,0,5,0,5.00,2,0,0,1,0,
RR Vs SRH,SRH,Shahbaz Ahmed,4,0,23,3,5.75,13,2,1,0,0,
RR Vs SRH,SRH,Abhishek Sharma,4,0,24,2,6.00,8,2,0,0,0,
RR Vs SRH,SRH,Aiden Markram,1,0,10,0,10.00,2,0,1,0,1,
RR Vs RCB,RR,Trent Boult,4,0,16,1,4.00,14,1,0,0,0,
RR Vs RCB,RR,Sandeep Sharma,4,0,48,1,12.00,3,5,2,0,0,
RR Vs RCB,RR,Avesh Khan,4,0,44,3,11.00,6,5,2,0,0,
RR Vs RCB,RR,Ravichandran Ashwin,4,0,19,2,4.75,9,0,0,2,0,
RR Vs RCB,RR,Yuzvendra Chahal,4,0,43,1,10.75,7,2,4,0,0,
RR Vs RCB,RCB,Swapnil Singh,2,0,19,0,9.50,4,2,1,0,0,
RR Vs RCB,RCB,Mohammed Siraj,4,0,33,2,8.25,7,4,0,3,0,
RR Vs RCB,RCB,Yash Dayal,3,0,37,0,12.33,5,8,0,0,0,
RR Vs RCB,RCB,Lockie Ferguson,4,0,37,1,9.25,9,3,2,0,0,
RR Vs RCB,RCB,Karn Sharma,2,0,19,1,9.50,1,2,0,2,0,
RR Vs RCB,RCB,Cameron Green,4,0,28,1,7.00,9,1,2,0,0,
KKR Vs SRH,KKR,Mitchell Starc,4,0,34,3,8.50,11,5,1,1,0,
KKR Vs SRH,KKR,Vaibhav Arora,2,0,17,1,8.50,5,1,0,2,1,
KKR Vs SRH,KKR,Harshit Rana,4,0,27,1,6.75,9,2,1,1,0,
KKR Vs SRH,KKR,Sunil Narine,4,0,40,1,10.00,7,2,3,0,0,
KKR Vs SRH,KKR,Andre Russell,1.3,0,15,1,10.00,2,2,0,0,0,
KKR Vs SRH,KKR,Varun Chakravarthy,4,0,26,2,6.50,9,1,1,1,1,
KKR Vs SRH,SRH,Bhuvneshwar Kumar,3,0,28,0,9.33,9,4,1,0,0,
KKR Vs SRH,SRH,Pat Cummins,3,0,38,1,12.66,6,5,2,1,0,
KKR Vs SRH,SRH,T Natarajan,3,0,22,1,7.33,11,3,1,1,0,
KKR Vs SRH,SRH,Vijayakanth Viyaskanth,2,0,22,0,11.00,1,0,2,0,0,
KKR Vs SRH,SRH,Travis Head,1.4,0,32,0,19.20,2,3,3,0,0,
KKR Vs SRH,SRH,Nitish Kumar Reddy,1,0,13,0,13.00,1,1,1,0,0,
SRH Vs PBKS,SRH,Bhuvneshwar Kumar,4,0,36,0,9.00,8,4,1,0,0,
SRH Vs PBKS,SRH,Pat Cummins,4,0,36,1,9.00,7,4,1,0,0,
SRH Vs PBKS,SRH,T Natarajan,4,0,33,2,8.25,8,3,1,2,0,
SRH Vs PBKS,SRH,Vijayakanth Viyaskanth,4,0,37,1,9.25,10,2,3,0,0,
SRH Vs PBKS,SRH,Shahbaz Ahmed,1,0,13,0,13.00,1,1,1,0,0,
